impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Memo_cleaned
K24-172693,A717772,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2856122,LOST,Milo,Cat,1.5,Male,American Shorthair,Black,1-Oct-24,Date Lost,19TH  & 1ST ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2856122,Image Copyright HLP Inc. 2024,"Description: Large Black Male cat 15 years old - all black no markings.  Very long claws....not chipped<p/>Age: Over 1 year<p/>Location Lost: 19th & 1st st, Kirkland WA  98033<p/>Lost Date: 2024-10-01<p/>",large black male cat black markings long clawsnot chipped kirkland
K24-173038,A718315,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2861332,LOST,,Dog,1.5,Female,Havanese,Black,18-Oct-24,Date Lost,CARLETON  AVENUE S & CORSON AVENUE S,Seattle,WA,98108.0,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2861332,Image Copyright HLP Inc. 2024,"Description: Black and Brown Havanese/Yorkie mix<p/>Age: Over 1 year<p/>Location Lost: Carleton Ave S and Corson Ave, Seattle WA  98108<p/>Lost Date: 2024-10-18<p/>",black brown havaneseyorkie mix carleton corson seattle
K24-173619,A719393,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719393,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Rabbit Sh,,Male,Rabbit Sh,Sable,2-Nov-24,Received on,3700 block of  S 173RD ST,SEATAC,WA,98188.0,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719393,Image Copyright HLP Inc. 2024,"Received on: 2024-11-02<p/> Found Near: 3700 block of  S 173RD ST<p/> Description: Sable Male Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",sable male rabbit rabbit pet adoption center kent
K24-173471,A719099,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2865842,In Public Home,Zhawn Saulsm,Dog,,Female,Bichon Frise,White,29-Oct-24,Date Found,214TH  AND PACIFIC HIGHWAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2865842,Image Copyright HLP Inc. 2024,"Description: Small Black and white dog<p/>Age: Unknown<p/>Found Near: 214th and pacific highway , Seattle WA  98198<p/>Found Date: 2024-10-29<p/>",small black white dog pacific highway seattle
K24-172578,A717582,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854835,LOST,Bingo,Dog,,Male,Alaskan Malamute,Unknown,5-Oct-24,Date Lost,51st  Ave S & S 139th St,Tukwila,,98168.0,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854835,Image Copyright HLP Inc. 2024,"<p/>Age: Unknown<p/>Location Lost: 51st Ave and S 139th St, Seattle WA  98168<p/>Lost Date: 2024-10-05<p/>",seattle
K24-172784,A717889,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857213,LOST,Tom,Cat,1.5,Male,Domestic Shorthair,Unknown,3-Oct-24,Date Lost,51st  Pl S & S 288th St,King County,,98001.0,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857213,Image Copyright HLP Inc. 2024,"Description: Tom is grey and white with a perfect shape of a spade on his fave.<p/>Age: Over 1 year<p/>Location Lost: 51st  and 288th , Auburn WA  98001<p/>Lost Date: 2024-10-03<p/>",tom grey white perfect shape spade fave auburn
K24-173712,A719571,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719571,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,3.0,Male,Siberian Husky,Black / White,5-Nov-24,Received on,26300 block of  104TH AVE SE,KENT,WA,98030.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719571,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Found Near: 26300 block of  104TH AVE SE<p/> Description: Black / White Male Siberian Husky Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",black white male siberian husky dog pet adoption center kent
K24-173539,A719281,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719281,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Dice,Barn Cat,1.0,Neutered Male,Domestic Shorthair,Black / White,31-Oct-24,Received on,28000 block of  150TH PL SE,KENT,WA,98042.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719281,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 28000 block of  150TH PL SE<p/> Description: Black / White Neutered Male Domestic Shorthair Barn Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",black white neutered male domestic shorthair barn cat pet adoption center kent
K24-173428,A719013,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719013,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Logan,Barn Cat,3.0,Neutered Male,Domestic Mediumhair,Black / White,28-Oct-24,Received on,3400 block of  HAMPTON WAY,KENT,WA,98032.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719013,Image Copyright HLP Inc. 2024,"Received on: 2024-10-28<p/> Found Near: 3400 block of  HAMPTON WAY<p/> Description: Black / White Neutered Male Domestic Mediumhair Barn Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",hampton way black white neutered male domestic mediumhair barn cat pet adoption center kent
K24-173671,A719491,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719491,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,1.5,Male,Pit Bull / Mix,Brown / White,4-Nov-24,Received on,16000 block of  SE MAY VALLEY RD,RENTON,WA,98059.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719491,Image Copyright HLP Inc. 2024,"Received on: 2024-11-04<p/> Found Near: 16000 block of  SE MAY VALLEY RD<p/> Description: Brown / White Male Pit Bull / Mix Dog<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",valley brown white male pit bull mix dog pet adoption center kent
K24-173549,A719292,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719292,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Licorice,Dog,3.0,Spayed Female,German Shepherd,Black,31-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719292,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Description: Black<p/>  Spayed Female German Shepherd Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $250<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Licorice and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 10/31/24<p/><p/>I weigh 73lbs and am considered a ""large breed"" dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit.""<p/><p/>I am an affectionate lovebug who likes to do my own thing! I am engaging and need a handler who needs me just as much as I need them.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home with older children.<p/>",black spayed female german shepherd dog pet adoption center kent licorice available adoptioni good samaritan weigh considered large breed dogi smart dog shelter practicing siti affectionate lovebug thing engaging handler needs much themi full energy love play calm people calm best exercise mind busybecause shy nature best calm quiet home older children
K24-169446,A711959,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Pop,Cat,3.25,Neutered Male,Domestic Shorthair,Seal Pt,10-Jul-24,Received on,21615 64TH AVE S,KENT,WA,98032.0,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A711959,Image Copyright HLP Inc. 2024,"Received on: 2024-07-10<p/> Description: Seal Pt Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS 3 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Pop and I am available for adoption.<p/><p/>I was brought in by a good samaritan on July 10, 2024 with a few other cats.<p/><p/>I can be a tad shy and probably won't give you much emotion at first, but if you approach me slowly and give me chin scritches for a minute I will lean into pets :)<p/><p/>Since I arrived with a few other cats I will most likely do well in a home with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>Due to my shy nature I would thrive best in a calm quiet home without younger children.<p/><p/>I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",seal neutered male domestic shorthair cat raskc foster home pop available adoptioni good samaritan july catsi tad shy probably wont much emotion first approach slowly chin scritches minute lean pets arrived cats well home cats meeting cats home best slow introductiondue shy nature thrive best calm quiet home without younger childreni gentle loving cat things slow nervous situations looking family understands warm devoted friend sensitive handling best home cat savvy family knows space
K24-172516,A714900,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Cranky,Cat,0.23076923076923078,Neutered Male,Domestic Shorthair,Black,25-Aug-24,Received on,21615 64TH AVE S,KENT,WA,98032.0,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A714900,Image Copyright HLP Inc. 2024,"Received on: 2024-08-25<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Adoption Fee: $100<p/> Current Location: In RASKC Foster Home <p/>These sweet energetic kittens are ready for a forever home. They love to run around the house and follow you from room to room. These boys have not met a toy they didn`t like.<p/>They have been in a foster home with kids, small dogs and other cats.<p/>",black neutered male domestic shorthair cat raskc foster home sweet energetic kittens ready forever home love run house follow room room boys met toy didnt likethey foster home kids small dogs cats
K24-173702,A719559,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719559,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,0.4166666666666667,Male,Domestic Mediumhair,Brn Tabby / White,5-Nov-24,Received on,2900 block of  S 353RD PL,FEDERAL WAY,WA,98003.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719559,Image Copyright HLP Inc. 2024,"Received on: 2024-11-05<p/> Found Near: 2900 block of  S 353RD PL<p/> Description: Brn Tabby / White Male Domestic Mediumhair Cat<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",brn tabby white male domestic mediumhair cat pet adoption center kent
K24-173229,A718648,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862777,LOST,Oakley,Dog,,Unknown,Australian Cattle Dog,Unknown,21-Oct-24,Date Lost,Occidental  Ave S & S 112th St,King County,,98168.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862777,Image Copyright HLP Inc. 2024,"Description: Very fearful <p/>Age: Unknown<p/>Location Lost: Occidental ave and 112th, Seattle WA  98168<p/>Lost Date: 2024-10-21<p/>",fearful occidental seattle
K24-173581,A716536,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A716536,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Perry,Dog,4.083333333333333,Neutered Male,Labrador Retriever / Mix,Black,1-Nov-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A716536,Image Copyright HLP Inc. 2024,"Received on: 2024-11-01<p/> Description: Black<p/>  Neutered Male Labrador Retriever / Mix Dog<p/> Age: 4 YEARS 1 MONTH<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Perry. I came to the shelter as a stray and now I'm looking for a new home! <p/><p/>I have the cutest overbite and a sweet personality to match! I also have talents, like catching treats in mid air! I can be a bit bashful when first meeting a new person, but the way to my heart is through my tummy and once the treats start flowing I'm everyones best friend. <p/><p/>I weigh 59lbs and am considered a large breed dog. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",black neutered male labrador retriever mix dog month pet adoption center kent perry came shelter stray looking home cutest overbite sweet personality match talents catching treats mid air bit bashful first meeting person way heart tummy treats flowing everyones best friend weigh considered large breed dog gentle loving dog things slow nervous situations looking family understands warm devoted friend
K24-173683,A719510,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2868205,In Public Home,Pretty,Dog,1.5,Female,Pit Bull,Unknown,3-Oct-24,Date Found,"22200 block of  105TH AVENUE SE, 13E",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2868205,Image Copyright HLP Inc. 2024,"Description: My nephew went to jail and when i went to his house there were two dogs there in need of rescue and severly neglected as a result.  I have been reaching out to agnecies to help and quite honest I am beyond desperate now and don't know what to do. I own 3 cats and so cannot care for these dogs. I also work long hours I don't believe leaving a dog in a crate for extended hours is a quality of life and I am feeling afwul that I am not doing much better than the condtions they were in when I rescued them.   With all the agencies I have reached out to asking for help I am starting to understand why people just abandon  pets as its has been extremely difficult getting help even after I have now said several times that I never wanted dogs and that I don't have the capacity/time/space/ or even know how on how to care for these dogs. I am actully in tears writing this as I hae wrote to so many agencies for help and these are not even my dogs. Please help me, I'm starting to really feel bad and guilty that I even rescued them beliving it would be a simple process to relinquish them.<p/>Age: Over 1 year<p/>Found Near: 22200 block of  105TH AVENUE SE, 13E<p/>Found Date: 2024-10-03<p/>",nephew went jail went house two dogs rescue severly neglected result reaching agnecies help honest beyond desperate cats cannot care dogs work long hours believe leaving dog crate extended hours quality life feeling afwul much condtions rescued agencies reached asking help starting understand people abandon pets extremely difficult getting help said several times wanted dogs capacitytimespace care dogs actully tears writing hae wrote agencies help dogs help starting really bad guilty rescued beliving simple process relinquish e
K24-173632,A719416,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2867548,In Public Home,,Cat,,Unknown,Domestic Mediumhair,Unknown,3-Nov-24,Date Found,13200 block of  SE EASTGARE WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2867548,Image Copyright HLP Inc. 2024,<p/>Age: Unknown<p/>Found Near: 13200 block of  SE EASTGARE WAY<p/>Found Date: 2024-11-03<p/>,eastgare way
K24-172576,A717575,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2854634,LOST,Loki,Cat,1.5,Male,Norwegian Forest Cat,White,4-Oct-24,Date Lost,12700 block of  SE 190TH PL,,,98058.0,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2854634,Image Copyright HLP Inc. 2024,"Description: Siberian Blue Point blue eyes long bushy tail very friendly and vocal went missing at midnight on Oct 4th<p/>Age: Over 1 year<p/>Location Lost: 12720 SE 190th Pl, Renton WA  98058<p/>Lost Date: 2024-10-04<p/>",siberian blue point blue eyes long bushy tail friendly vocal went missing midnight oct renton
K24-172959,A718195,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2859316,LOST,Fennel,Cat,0.5,Male,Domestic Shorthair,White,16-Oct-24,Date Lost,13th  Ave & E Jefferson St,Seattle,,98122.0,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2859316,Image Copyright HLP Inc. 2024,"Description: Small (7lb) white cat with grey/cream strips on tail and legs. Blue eyes.<p/>Age: Under 1 year<p/>Location Lost: 13th Ave and Jefferson St, Seattle WA  98122<p/>Lost Date: 2024-10-16<p/>",small lb white cat greycream strips tail legs blue eyes jefferson seattle
K24-172325,A717127,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2851710,LOST,Pascal,Cat,1.5,Unknown,Domestic Shorthair,Brown,26-Sep-24,Date Lost,150th  Pl SE & SE 278th St,Kent,,98042.0,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2851710,Image Copyright HLP Inc. 2024,"Description: Green eyes, big primordial pouch, slight chin acne, long claws, outdoor cat, easily spooked<p/>Age: Over 1 year<p/>Location Lost: 150th and 278th St Kent, Kent WA  98042<p/>Lost Date: 2024-09-26<p/>",green eyes big primordial pouch slight chin acne long claws outdoor cat easily spooked kent kent
K24-173418,A718996,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718996,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Luca,Barn Cat,0.6666666666666666,Neutered Male,Domestic Shorthair,Brn Tabby,28-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718996,Image Copyright HLP Inc. 2024,"Received on: 2024-10-28<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Barn Cat<p/> Age: 8 MONTHS<p/> Adoption Fee: $0.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Luca and I am a ""Working Cat"". I am seeking a home where I can put my hunting skills to work! <p/><p/>I was brought in my a good samaritan on October 28, 2024.<p/><p/>I am a cat that has never been socialized with humans so I will avoid you at all cost. Please allow me my space so that I can feel the most comfortable while acclimating to your space.<p/><p/>If you have never had working cats before, please reach out to barncatsrus@gmail.com to get all of the resources you will need to set up before you bring me home.<p/>",brn tabby neutered male domestic shorthair barn cat pet adoption center kent luca working cat seeking home put hunting skills work good samaritan october cat socialized humans avoid cost allow space comfortable acclimating spaceif working cats reach barncatsrusgmailcom resources home
K24-172778,A717871,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2857033,LOST,Jake,Cat,1.5,Male,Domestic Shorthair,Unknown,10-Oct-24,Date Lost,SE  221st St & 116th Ave SE,Kent,,98031.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2857033,Image Copyright HLP Inc. 2024,"Description: Grey tabby, large neutered male<p/>Age: Over 1 year<p/>Location Lost: 221st pl and 116th, Kent WA  98031<p/>Lost Date: 2024-10-10<p/>",grey tabby large neutered male kent
K24-172337,A717153,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2851860,LOST,Bella,Cat,,Female,Domestic Longhair,Unknown,24-Sep-24,Date Lost,1700 block of  22ND WAY NORTHEAST AUBURN WASHINGTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2851860,Image Copyright HLP Inc. 2024,"<p/>Age: Unknown<p/>Location Lost: 1702 22nd way northeast Auburn Washington , Auburn WA  98002<p/>Lost Date: 2024-09-24<p/>",way northeast auburn washington auburn
K24-173391,A718939,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,0.15384615384615385,Female,Domestic Longhair,Seal Pt,27-Oct-24,Received on,300 block of  UPLAND DR,TUKWILA,WA,98188.0,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718939,Image Copyright HLP Inc. 2024,Received on: 2024-10-27<p/> Found Near: 300 block of  UPLAND DR<p/> Description: Seal Pt Female Domestic Longhair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,upland dr seal female domestic longhair cat raskc foster home
K24-173264,A718721,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A718721,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Gavin,Barn Cat,2.0,Neutered Male,Domestic Shorthair,Brn Tabby,23-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718721,Image Copyright HLP Inc. 2024,"Received on: 2024-10-23<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Barn Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $0.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gavin and I am a ""Working Cat"". I am seeking a home where I can put my hunting skills to work! <p/><p/>I am a cat that has never been socialized with humans so I will avoid you at all cost. Please allow me my space so that I can feel the most comfortable while acclimating to your space.<p/><p/>If you have never had working cats before, please reach out to barncatsrus@gmail.com to get all of the resources you will need to set up before you bring me home.<p/>",brn tabby neutered male domestic shorthair barn cat pet adoption center kent gavin working cat seeking home put hunting skills work cat socialized humans avoid cost allow space comfortable acclimating spaceif working cats reach barncatsrusgmailcom resources home
K24-173549,A719292,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A719292,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Licorice,Dog,3.0,Spayed Female,German Shepherd,Black,31-Oct-24,Received on,100 block of  REITEN RD,KENT,WA,98030.0,KENT,47.381578,-122.22192,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719292,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Found Near: 100 block of  REITEN RD<p/> Description: Black Spayed Female German Shepherd Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",reiten black spayed female german shepherd dog pet adoption center kent
K24-172342,A717159,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2851942,In Public Home,Unknown,Dog,0.5,Female,Siberian Husky,Unknown,27-Sep-24,Date Found,104TH  AVENUE SE & SE 248TH ST,KENT,WA,98030.0,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2851942,Image Copyright HLP Inc. 2024,"Description: White and tan coloring with dark patches, blue eyes. Recently weaned puppies.  <p/>Age: Under 1 year<p/>Found Near: 104th and 248th. Kent, Kent WA  98030<p/>Found Date: 2024-09-27<p/>",white tan coloring dark patches blue eyes recently weaned puppies kent kent
K24-173162,A718518,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862452,LOST,Matthew,Dog,0.5,Male,French Bulldog,Brown,10-Oct-24,Date Lost,42nd  Ave SW & SW Morgan St,Seattle,,98136.0,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862452,Image Copyright HLP Inc. 2024,"Description: Matthew is a  a small  chocolate brown dog with  a tan/blonde circle over each eye. He has the sweetest face. He has light brown under belly and light paws same color as the circles on his eyes.<p/>Age: Under 1 year<p/>Location Lost: 42nd  ave and Morgan Street , Seattle WA  98118<p/>Lost Date: 2024-10-10<p/>",matthew small chocolate brown dog tanblonde circle eye sweetest face light brown belly light paws color circles eyes morgan street seattle
K24-173531,A719269,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A719269,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marypuppins,Dog,0.5833333333333334,Spayed Female,Labrador Retriever / Whippet,Yellow,31-Oct-24,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719269,Image Copyright HLP Inc. 2024,"Received on: 2024-10-31<p/> Description: Yellow<p/>  Spayed Female Labrador Retriever / Whippet Dog<p/> Age: 7 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Mary Puppins and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 10/31/24.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I am a puppy!! I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. Puppies require patience because everything is brand new so I will need some TLC while I learn. I am not potty trained or crate training yet and teaching me those skills will help tremendously on a road to success! If you and your family are ready to fall in love my awesome self, please check me out!!<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",yellow spayed female labrador retriever whippet dog pet adoption center kent mary puppins available adoptioni good samaritan affectionate lovebug thrilled cuddle homei full energy love play calm people calm best exercise mind busyi puppy home someone available early days important consistent socialize best companionship people animals puppies require patience everything brand tlc learn potty trained crate training yet teaching skills help tremendously road success family ready fall love awesome self check outi spirited dog funloving personality working manners best family willing work help become best dog
K24-173114,A718457,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2862291,LOST,Gotti,Dog,0.5,Male,German Shepherd,Black,21-Oct-24,Date Lost,18800 block of  Meridian Ave N,Shoreline,,98133.0,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2862291,Image Copyright HLP Inc. 2024,"Description: All black German and pit mix<p/>Age: Under 1 year<p/>Location Lost: 18801 Meridian Ave N, , Seattle WA  98113<p/>Lost Date: 2024-10-21<p/>",black german pit mix meridian n seattle
